run,jobs_per_sec
1,473.2
2,467.3
3,473.9
4,454.7
5,467.9
6,456.5
7,475.3
8,475.8
9,465.9
10,474.9
11,436.8
12,471.9
13,475.5
14,466.1
15,455.8
16,474.8
17,470.9
18,468.2
19,449.3
20,442.0
