run,jobs_per_sec
1,460.5
2,461.7
3,466.6
4,469.0
5,464.1
6,466.0
7,473.0
8,473.1
9,465.0
10,449.6
11,456.7
12,456.8
13,466.2
14,466.2
15,454.0
16,464.5
17,446.5
18,468.0
19,469.7
20,459.3
