run,jobs_per_sec
1,469.8
2,471.9
3,469.6
4,467.0
5,472.0
6,475.4
7,469.1
8,470.0
9,463.9
10,469.5
11,458.2
12,451.1
13,472.7
14,462.3
15,439.0
16,470.6
17,468.8
18,454.9
19,465.4
20,459.0
