jobid,SUBMIT,START,FINISH
ƒ6n8een3,1546300800,1546300800,1546301160.0
ƒ6nfnPhH,1546300800,1546301160.0,1546301520.0
ƒ6oEQ7ts,1546300800,1546301520.0,1546301880.0
ƒ6omXrp7,1546300800,1546301880.0,1546302240.0
ƒ6pJfbjM,1546300800,1546302240.0,1546302600.0
ƒ6pqoLeb,1546300800,1546302600.0,1546302960.0
ƒ6qNw5Zq,1546300800,1546302960.0,1546303320.0
ƒ6qwYomR,1546300800,1546303320.0,1546303680.0
ƒ6rUgYgf,1546300800,1546303680.0,1546304040.0
ƒ6s1pHbu,1546300800,1546304040.0,1546304400.0
